symbol,t,o,h,l,c,v,n
UPS,2023-04-03 04:00:00,192.83,193.75,191.32,193.72,2735242.0,46825
UPS,2023-04-04 04:00:00,194.67,194.88,189.93,190.61,2498853.0,49654
UPS,2023-04-05 04:00:00,189.84,191.885,189.35,189.4,2718297.0,48530
UPS,2023-04-06 04:00:00,188.33,189.56,186.53,188.58,2206234.0,44862
UPS,2023-04-10 04:00:00,187.42,190.55,186.78,190.26,2158050.0,41358
UPS,2023-04-11 04:00:00,190.5,193.1,189.59,192.45,2844581.0,48388
UPS,2023-04-12 04:00:00,192.5,194.04,189.02,189.85,3729104.0,67553
UPS,2023-04-13 04:00:00,190.92,191.5951,188.54,191.0,2355589.0,40522
UPS,2023-04-14 04:00:00,191.0,193.02,190.25,192.87,2034960.0,42096
UPS,2023-04-17 04:00:00,193.22,194.38,192.58,193.29,1920462.0,43242
UPS,2023-04-18 04:00:00,193.58,194.67,192.88,194.12,2461589.0,48044
UPS,2023-04-19 04:00:00,194.28,196.22,194.11,196.03,2652204.0,51992
UPS,2023-04-20 04:00:00,195.87,197.8,194.12,194.98,3319293.0,56985
UPS,2023-04-21 04:00:00,194.87,196.5,193.61,195.21,3371885.0,51867
UPS,2023-04-24 04:00:00,195.36,197.31,194.725,195.85,3689112.0,67578
UPS,2023-04-25 04:00:00,182.67,183.0,176.22,176.29,12474851.0,184485
UPS,2023-04-26 04:00:00,175.23,177.0585,172.13,172.57,5845607.0,106291
UPS,2023-04-27 04:00:00,172.76,178.16,172.19,177.76,4679013.0,80685
UPS,2023-04-28 04:00:00,176.84,180.48,176.51,179.81,3440757.0,56098
UPS,2023-05-01 04:00:00,179.95,182.69,179.67,182.2,2807893.0,48347
UPS,2023-05-02 04:00:00,180.7,180.77,177.68,177.84,3527750.0,55814
UPS,2023-05-03 04:00:00,177.5,178.0,175.5,175.83,3825246.0,61013
UPS,2023-05-04 04:00:00,174.55,174.9406,172.86,173.29,3495232.0,55314
UPS,2023-05-05 04:00:00,175.175,176.285,173.8,175.74,2775271.0,46051
UPS,2023-05-08 04:00:00,175.91,176.36,173.6,174.39,2589144.0,40170
UPS,2023-05-09 04:00:00,172.87,173.795,172.15,173.01,2180685.0,40942
UPS,2023-05-10 04:00:00,173.73,173.98,169.85,171.57,3133338.0,57423
UPS,2023-05-11 04:00:00,171.53,171.75,169.18,170.23,3136608.0,53566
UPS,2023-05-12 04:00:00,169.11,169.86,166.88,168.5,3346831.0,53880
UPS,2023-05-15 04:00:00,167.56,168.915,166.26,168.85,3048413.0,55640
UPS,2023-05-16 04:00:00,167.49,167.83,166.15,166.61,3459177.0,57405
UPS,2023-05-17 04:00:00,167.69,171.765,166.71,171.36,3882431.0,60057
UPS,2023-05-18 04:00:00,171.64,173.42,169.76,171.04,2747385.0,51335
UPS,2023-05-19 04:00:00,171.13,171.4599,169.37,170.93,2350155.0,37536
UPS,2023-05-22 04:00:00,171.61,171.85,169.32,171.51,2675560.0,42798
UPS,2023-05-23 04:00:00,170.59,172.26,169.25,169.79,2660616.0,46437
UPS,2023-05-24 04:00:00,168.85,169.655,167.45,167.72,2410563.0,40761
UPS,2023-05-25 04:00:00,168.58,172.08,168.17,171.23,2977043.0,48317
UPS,2023-05-26 04:00:00,171.73,172.91,171.18,171.57,2292008.0,45126
UPS,2023-05-30 04:00:00,171.69,171.84,168.915,169.76,2542214.0,48080
UPS,2023-05-31 04:00:00,169.06,169.22,166.3,167.0,5106097.0,60813
UPS,2023-06-01 04:00:00,167.51,168.92,166.21,167.83,2507005.0,45356
UPS,2023-06-02 04:00:00,168.76,170.94,167.93,170.14,2752177.0,47928
UPS,2023-06-05 04:00:00,169.95,169.95,167.615,167.85,2507272.0,45853
UPS,2023-06-06 04:00:00,166.51,168.66,166.18,167.59,2521998.0,44696
UPS,2023-06-07 04:00:00,167.345,171.67,166.9,171.5,3435606.0,53336
UPS,2023-06-08 04:00:00,171.48,171.62,169.63,171.48,3676419.0,54807
UPS,2023-06-09 04:00:00,171.0,171.38,169.555,170.49,2838567.0,42594
UPS,2023-06-12 04:00:00,170.84,171.82,170.03,171.5,2795236.0,43056
UPS,2023-06-13 04:00:00,171.31,173.38,171.11,172.89,3527973.0,52215
UPS,2023-06-14 04:00:00,173.66,176.7,173.09,174.88,4476124.0,62079
UPS,2023-06-15 04:00:00,175.46,179.3,175.415,179.0,4162854.0,57007
UPS,2023-06-16 04:00:00,179.99,180.27,176.1,178.58,8469269.0,64196
UPS,2023-06-20 04:00:00,176.46,178.675,176.46,177.27,3088520.0,49181
UPS,2023-06-21 04:00:00,174.13,176.59,172.87,173.63,4935490.0,71052
UPS,2023-06-22 04:00:00,172.16,173.5,170.96,171.38,4192807.0,66050
UPS,2023-06-23 04:00:00,169.6,171.16,168.71,169.29,11278591.0,75719
UPS,2023-06-26 04:00:00,169.22,173.04,169.22,172.75,3763109.0,52238
UPS,2023-06-27 04:00:00,173.39,175.49,172.47,174.67,2711554.0,47338
UPS,2023-06-28 04:00:00,174.12,176.079,173.66,175.66,2746443.0,43659
UPS,2023-06-29 04:00:00,175.42,176.19,174.785,176.05,2301550.0,44094
UPS,2023-06-30 04:00:00,176.59,179.65,175.56,179.25,4892851.0,65661
UPS,2023-07-03 04:00:00,178.26,184.16,178.18,183.77,3330016.0,54463
UPS,2023-07-05 04:00:00,179.37,181.7,178.79,179.97,4820629.0,68825
UPS,2023-07-06 04:00:00,178.66,179.4,177.585,179.28,3012410.0,48787
UPS,2023-07-07 04:00:00,178.11,181.722,178.04,179.76,3145285.0,54985
UPS,2023-07-10 04:00:00,179.68,182.43,179.68,181.33,2372713.0,44226
UPS,2023-07-11 04:00:00,181.93,185.5,181.36,185.24,2896662.0,47691
UPS,2023-07-12 04:00:00,187.07,187.67,185.47,186.49,2586007.0,42223
UPS,2023-07-13 04:00:00,186.64,187.82,185.33,185.36,2857410.0,45621
UPS,2023-07-14 04:00:00,184.78,185.665,183.9,185.26,2213650.0,39810
UPS,2023-07-17 04:00:00,184.48,184.5,182.42,182.74,2556717.0,49607
UPS,2023-07-18 04:00:00,182.82,184.9,182.82,184.57,2387566.0,45046
UPS,2023-07-19 04:00:00,184.595,186.47,184.595,186.02,3019087.0,52153
UPS,2023-07-20 04:00:00,186.63,188.205,185.6,186.94,2703631.0,55145
UPS,2023-07-21 04:00:00,186.91,189.48,186.74,187.3,5064709.0,57084
UPS,2023-07-24 04:00:00,185.86,189.345,185.72,188.34,2460231.0,40480
UPS,2023-07-25 04:00:00,187.81,192.98,182.14,184.69,10006571.0,130597
UPS,2023-07-26 04:00:00,183.25,185.13,181.715,184.39,4189081.0,75297
UPS,2023-07-27 04:00:00,185.12,187.23,184.05,186.52,3251374.0,54195
UPS,2023-07-28 04:00:00,188.39,189.65,187.69,187.89,2304647.0,42853
UPS,2023-07-31 04:00:00,187.805,188.32,186.2,187.13,2325150.0,39394
UPS,2023-08-01 04:00:00,186.86,187.0,183.77,185.5,2827369.0,52195
UPS,2023-08-02 04:00:00,183.95,185.36,182.84,183.35,2012694.0,36410
UPS,2023-08-03 04:00:00,182.34,184.56,181.26,181.5,3694497.0,62107
UPS,2023-08-04 04:00:00,182.13,182.6042,180.47,180.94,4437391.0,65399
UPS,2023-08-07 04:00:00,182.0,183.24,180.74,182.15,4397184.0,73134
UPS,2023-08-08 04:00:00,183.06,184.33,176.02,180.55,6433351.0,97793
UPS,2023-08-09 04:00:00,179.12,181.37,178.56,179.37,3249463.0,52498
UPS,2023-08-10 04:00:00,180.08,182.25,179.93,180.38,3964791.0,63058
UPS,2023-08-11 04:00:00,178.27,179.03,175.9,176.62,3558532.0,62240
UPS,2023-08-14 04:00:00,176.12,176.44,174.56,175.51,2980792.0,45758
UPS,2023-08-15 04:00:00,174.45,174.56,172.76,173.26,2269269.0,41631
UPS,2023-08-16 04:00:00,172.1,173.58,170.58,170.74,2500538.0,45404
UPS,2023-08-17 04:00:00,171.36,171.55,170.05,170.74,2986577.0,46476
UPS,2023-08-18 04:00:00,169.81,172.16,169.81,171.24,2868452.0,45871
UPS,2023-08-21 04:00:00,170.91,171.7274,167.07,168.49,3512019.0,59291
UPS,2023-08-22 04:00:00,169.0,170.36,166.4,166.86,2702240.0,47268
UPS,2023-08-23 04:00:00,167.71,169.319,167.34,168.88,2375193.0,40253
UPS,2023-08-24 04:00:00,168.03,168.815,166.97,167.0,2207639.0,43174
UPS,2023-08-25 04:00:00,167.43,169.35,166.85,168.87,2506999.0,40713
UPS,2023-08-28 04:00:00,169.7,170.655,167.96,168.84,1967777.0,43065
UPS,2023-08-29 04:00:00,169.34,171.925,169.0,171.75,3261293.0,50339
UPS,2023-08-30 04:00:00,172.05,172.7545,170.99,172.01,2713341.0,39011
UPS,2023-08-31 04:00:00,172.03,172.69,169.3,169.4,3549814.0,49988
UPS,2023-09-01 04:00:00,170.52,170.68,167.34,168.0,3286591.0,54211
UPS,2023-09-05 04:00:00,167.5,168.015,163.61,163.97,4878273.0,78096
UPS,2023-09-06 04:00:00,163.88,164.25,161.45,162.31,3879299.0,65933
UPS,2023-09-07 04:00:00,161.99,162.65,160.52,162.24,3013167.0,52748
UPS,2023-09-08 04:00:00,162.42,162.42,160.6,161.04,3561848.0,51631
UPS,2023-09-11 04:00:00,161.6,162.28,160.34,160.89,3637996.0,53670
UPS,2023-09-12 04:00:00,157.37,158.0,155.1,156.57,6232521.0,99667
UPS,2023-09-13 04:00:00,156.56,158.05,155.86,157.84,4071931.0,62991
UPS,2023-09-14 04:00:00,159.76,160.88,159.03,160.73,2796439.0,47677
UPS,2023-09-15 04:00:00,160.73,161.47,159.65,160.49,4382293.0,49830
UPS,2023-09-18 04:00:00,159.91,160.15,158.08,158.44,2729369.0,43618
UPS,2023-09-19 04:00:00,158.3,158.68,156.51,158.01,2349033.0,44922
UPS,2023-09-20 04:00:00,158.6,159.42,157.35,157.64,2301142.0,40106
UPS,2023-09-21 04:00:00,157.0,157.78,155.23,155.43,3801458.0,66433
UPS,2023-09-22 04:00:00,155.42,155.84,153.51,153.78,3201665.0,52079
UPS,2023-09-25 04:00:00,152.93,155.39,152.82,154.31,2900479.0,47162
UPS,2023-09-26 04:00:00,153.0,154.01,151.8,151.9,3461990.0,59273
UPS,2023-09-27 04:00:00,152.48,152.8,150.54,152.41,3419503.0,52221
UPS,2023-09-28 04:00:00,152.63,155.56,152.43,155.5,5571684.0,63706
UPS,2023-09-29 04:00:00,156.5,157.33,155.06,155.87,5034589.0,68076
UPS,2023-10-02 04:00:00,155.145,155.42,153.64,155.08,3243692.0,55353
UPS,2023-10-03 04:00:00,154.265,156.3599,153.0201,153.75,3687671.0,63960
UPS,2023-10-04 04:00:00,154.4,155.38,152.45,153.72,2600620.0,46621
UPS,2023-10-05 04:00:00,153.04,153.98,152.6,153.38,2922292.0,39368
UPS,2023-10-06 04:00:00,152.88,155.15,152.3,154.27,2383609.0,37418
UPS,2023-10-09 04:00:00,153.45,154.8,152.535,154.34,1766017.0,33730
UPS,2023-10-10 04:00:00,154.51,156.45,154.28,155.55,2083532.0,38760
UPS,2023-10-11 04:00:00,155.78,156.24,153.47,155.3,2209802.0,38958
UPS,2023-10-12 04:00:00,155.5,155.55,153.56,155.38,2340494.0,42467
